period,cluster,sum_garb_k,sum_n_cert,sum_N_garbage,num_RI_weighted,prop_garbage,RI_cluster,w,num,den,philips_cstd,z_philips_cstd,z_RI_cluster,z_prop_garbage,direction_score
1999_2005,06CS027,17987,71950,3612,7951.665387214153,0.24999305072967337,2.20145774839816,NA,52.108884075864474,1,52.108884075864474,-0.307986876820107,1.9539442309387292,0.6760633200567207,0.7740068913917809
1999_2005,06CS029,18054,83415,4014,9478.650060218548,0.21643589282503148,2.361397623372832,NA,52.52407539071404,1,52.52407539071404,-0.0992226587387736,2.2995257507700844,1.413015626741352,1.204439572924221
1999_2005,06CS030,31911,137752,7091,15689.531866139881,0.23165543875950984,2.2125979221745706,NA,52.74218714169713,1,52.74218714169713,0.010447094745433294,1.978014764853096,1.0787775629881928,1.0224131408622406
1999_2005,06CS031,10645,44073,1440,5165.42046568379,0.24153109613595625,3.587097545613743,NA,51.98221092089261,1,51.98221092089261,-0.37167997733493324,4.947891219683104,0.8618972030876142,1.8127028151452615
1999_2005,06CS032,7926,31529,1576,3673.7448871805645,0.25138761140537286,2.331056400495282,NA,52.02345736496234,1,52.02345736496234,-0.35094066671623186,2.233967578255406,0.6454372250313654,0.8428213788568465
1999_2005,06CS033,3536,14248,802,1701.6318056218186,0.24817518248175183,2.1217354184810704,NA,51.88890763923075,1,51.88890763923075,-0.4185942213085055,1.7816884758207054,0.7159857176078319,0.6930266573733439
1999_2005,06CS034,8325,33193,1541,3892.565155905059,0.25080589280872473,2.5259994522420888,NA,52.35882227972978,1,52.35882227972978,-0.1823143209828085,2.65518033782454,0.6582124088791573,1.0436928085736297
1999_2005,06CS035,5094,20451,875,2406.498715493115,0.24908317441689892,2.750284246277846,NA,52.809089986840746,1,52.809089986840746,0.044086816132389954,3.1397916957502194,0.6960452103408226,1.2933079074078107
1999_2005,06CS036,15537,63137,2936,7571.174571688378,0.24608391276113847,2.5787379331363685,NA,52.40535815613123,1,52.40535815613123,-0.15891540703106022,2.7691321861921105,0.76191231392106,1.1240430310273701
1999_2005,06CS037,3094,11617,822,1336.0876487362289,0.2663338211242145,1.6254107648859233,NA,52.16227564405098,1,52.16227564405098,-0.28114082155367986,0.7092815594945334,0.3172019269232091,0.24844755495468754
1999_2005,06CS038,3614,13703,991,1609.3538801455313,0.26373786762022916,1.623969606604976,NA,51.677148579402335,1,51.677148579402335,-0.5250697494941934,0.7061676539151639,0.37421193737297404,0.18510328059798153
1999_2005,06CS039,4701,18222,955,2105.006800397162,0.25798485347382283,2.2041956025101173,NA,52.04460703562533,1,52.04460703562533,-0.34030630539719214,1.9598599025949475,0.5005544916986785,0.7067026962988113
1999_2005,06CS040,7104,26629,1773,3064.0456543558967,0.2667768222614443,1.7281701378205847,NA,52.690457262652544,1,52.690457262652544,-0.015563439107130355,0.9313133716445734,0.30747313192593545,0.40774102148779284
1999_2005,06CS041,6272,26121,1266,3027.629602181697,0.2401133187856514,2.391492576762794,NA,52.6159667628281,1,52.6159667628281,-0.053018343374508656,2.3645518096775566,0.893033161968323,1.068188876090457
1999_2005,06CS042,1342,4862,316,575.1500852284098,0.27601809954751133,1.8200952064190183,NA,50.97233691500838,1,50.97233691500838,-0.8794592821006747,1.1299355408933547,0.10452446052676016,0.11833357310648006
1999_2005,06CS043,5640,18744,1500,2096.248403224971,0.30089628681177977,1.3974989354833138,NA,51.833454152439515,1,51.833454152439515,-0.44647703917055687,0.21683327913311085,-0.44182805069108455,-0.2238239369095102
1999_2005,06CS044,7964,33605,1594,4063.9297810868447,0.2369885433715221,2.549516801183717,NA,52.79367546689592,1,52.79367546689592,0.03633617181906466,2.7059941901608577,0.9616566865188177,1.23466234949958
1999_2005,06CS045,2253,7893,505,932.712535523396,0.2854427974154314,1.846955515887913,NA,51.442905462595334,1,51.442905462595334,-0.64285058780211,1.187972516168414,-0.1024523297397554,0.1475565328755162
1999_2005,06CS046,1016,3776,267,423.34745521011195,0.2690677966101695,1.5855709932962994,NA,50.3805663941489,1,50.3805663941489,-1.1770100873615557,0.6231999065117703,0.2571608010769983,-0.09888312659092903
1999_2005,08CS001,37929,136260,11797,15609.825486143103,0.27835755173932186,1.3232029741580997,NA,52.13855372554211,1,52.13855372554211,-0.29306854641634345,0.056302259359805706,0.05314750262012225,-0.06120626147880517
1999_2005,08CS008,960,3661,268,399.3204026999448,0.26222343621961214,1.4900015026117344,NA,50.00442607987662,1,50.00442607987662,-1.3661388956709744,0.4167032474046489,0.4074705261119795,-0.18065504071811533
1999_2005,08CS010,6309,22428,1717,2338.233126678088,0.28130016051364365,1.3618131197892185,NA,51.96235605235937,1,51.96235605235937,-0.3816632933538442,0.13972706390104306,-0.01147544101739313,-0.08447055682339809
1999_2005,08CS015,3016,10680,838,1193.4448019681975,0.28239700374531834,1.4241584749023837,NA,51.42387189352547,1,51.42387189352547,-0.6524209425326912,0.2744364512745486,-0.03556333165315754,-0.13784927430376673
1999_2005,08CS017,2579,9556,782,1072.9247199309411,0.26988279614901634,1.3720264960753723,NA,51.24673367187656,1,51.24673367187656,-0.7414886108875833,0.1617950697697327,0.23926250969586177,-0.11347701047399629
1999_2005,08CS020,4896,15667,1499,1674.9971555713707,0.3125039892768239,1.1174097101877056,NA,51.32946466516896,1,51.32946466516896,-0.699890266924059,-0.3883545152263079,-0.6967460366311227,-0.5949969395938298
1999_2005,09CS001,14501,48539,4734,5200.422196311374,0.2987494591977585,1.0985260237244137,NA,51.17206842425908,1,51.17206842425908,-0.7790313808811233,-0.4291564295021359,-0.39468134158350643,-0.5342897173222553
1999_2005,09CS002,16449,55654,5224,5739.276954427766,0.2955582707442412,1.098636476728133,NA,51.31341750003846,1,51.31341750003846,-0.7079590144172598,-0.4289177740892735,-0.32459931322556684,-0.48715870057736677
1999_2005,09CS003,3664,11648,1182,1186.3668479718808,0.31456043956043955,1.0036944568290025,NA,51.11956055809958,1,51.11956055809958,-0.8054330979446882,-0.6340586592987686,-0.7419079595925185,-0.7271332389453251
1999_2005,09CS004,2715,9330,774,980.3368045098285,0.2909967845659164,1.2665850187465486,NA,50.089779211971845,1,50.089779211971845,-1.3232221022666908,-0.06603195581928067,-0.22442403108221448,-0.5378926963893953
1999_2005,09CS005,16130,54196,4955,5907.042781505995,0.2976234408443428,1.1921377964694237,NA,51.516977000542866,1,51.516977000542866,-0.6056063436461331,-0.22688980459417618,-0.3699527330023793,-0.40081629374756284
1999_2005,09CS006,4606,15367,1464,1520.57449851101,0.29973319450771135,1.0386437831359359,NA,50.99841033654986,1,50.99841033654986,-0.8663491873897945,-0.5585437740698999,-0.41628525714444176,-0.6137260728680454
1999_2005,09CS007,1635,6226,500,670.6780319683396,0.26260841631866366,1.3413560639366793,NA,50.396816469534144,1,50.396816469534144,-1.1688393136477742,0.09552557597368948,0.39901593729280976,-0.22476593346042498
1999_2005,09CS008,1968,6972,582,781.5178793855314,0.2822719449225473,1.3428142257483358,NA,51.18372266885322,1,51.18372266885322,-0.7731714575806904,0.09867622102147439,-0.03281690157185361,-0.23577071271035654
1999_2005,10CS001,2043,7881,590,868.5639779101922,0.2592310620479635,1.4721423354410037,NA,50.5893910495998,1,50.5893910495998,-1.0720100202789722,0.3781150083256782,0.47318637292256255,-0.07356954634357717
1999_2005,10CS002,8589,32935,2311,3560.2387359828117,0.2607863974495218,1.5405619800877592,NA,52.22625646712667,1,52.22625646712667,-0.2489703352648812,0.5259490915215749,0.4390294870771099,0.23866941444460119
1999_2005,10CS003,4253,17490,1138,1986.5924547933794,0.24316752429959976,1.745687570117205,NA,51.57488679057279,1,51.57488679057279,-0.57648846087146155,0.9691632253947252,0.8259594304863785,0.4062113983365474
1999_2005,11CS001,10432,40389,3437,3960.972347679086,0.2582881477630048,1.1524504939421256,NA,51.96450252425578,1,51.96450252425578,-0.3805840161361839,-0.3126420182154659,0.49389381362063406,-0.06644407357700527
1999_2005,12CS001,3679,14229,1167,1402.1570443777418,0.2585564691826551,1.2015056078643889,NA,51.74690513164163,1,51.74690513164163,-0.48999514276846473,-0.20664880778285447,0.488001178442586,-0.06954759070291107
1999_2005,12CS003,3017,11844,1046,1225.7020902251493,0.25472813238770686,1.1717993214389573,NA,51.83275661374906,1,51.83275661374906,-0.4468277717463253,-0.27083507536041695,0.5720756891571095,-0.04852905264987761
1999_2005,12CS004,8219,37832,1885,4176.743303719525,0.21724994713470078,2.2157789409652655,NA,52.03850631923188,1,52.03850631923188,-0.34337383412928285,1.9848879808567632,1.3951380936385154,1.012217413455332
1999_2005,12CS005,26995,113888,7106,12452.106187326954,0.23703111829165496,1.7523369247575222,NA,51.18002543329317,1,51.18002543329317,-0.7750304812720622,0.9835304623508776,0.9607216941786442,0.38974055841915317
1999_2005,12CS006,3547,15381,987,1646.773697306446,0.2306091931603927,1.66846372574108,NA,50.91032727271648,1,50.91032727271648,-0.9106386300869438,0.8023059391116926,1.1017542736446506,0.33114052755646645
1999_2005,12CS007,2842,14473,663,1539.8963385613056,0.1963656463760105,2.3226189118571727,NA,50.449955761091765,1,50.449955761091765,-1.1421201067312177,2.2157367265207815,1.8537804393743391,0.975799019721301
1999_2005,12CS008,1880,8206,461,908.8902550799951,0.22910065805508165,1.9715623754446747,NA,51.336293312828246,1,51.336293312828246,-0.6964567237882646,1.4572101150714838,1.1348833732165764,0.6318789214999319
1999_2005,12CS009,3583,17007,900,1946.0775217576474,0.21067795613570883,2.1623083575084974,NA,50.96824814087304,1,50.96824814087304,-0.8815151770694428,1.8693542810824857,1.5394662855545476,0.8424351298558634
1999_2005,12CS010,1049,4474,249,452.78132376414044,0.23446580241394724,1.8183988906190378,NA,51.191616166522984,1,51.191616166522984,-0.7692024924072454,1.1262703173688018,1.0170588684656807,0.4580422311424124
1999_2005,12CS013,13343,51137,3543,5400.106449314504,0.2609265306920625,1.524162136413916,NA,52.065009432502706,1,52.065009432502706,-0.33004768418149316,0.4905140075395417,0.43595200606316276,0.19880610980707045
1999_2005,12CS014,5236,20148,1255,2309.4205988932245,0.25987691085963865,1.8401757760105375,NA,52.5184061753793,1,52.5184061753793,-0.10207322247689224,1.173323556293613,0.45900281861542885,0.5100843841440499
1999_2005,12CS019,2975,15154,837,1520.9185908017168,0.19631780388016365,1.8171070379948828,NA,50.69131721507129,1,50.69131721507129,-1.0207600651964726,1.1234790159918044,1.8548311135038968,0.652516688099743
1999_2005,12CS020,2059,9284,510,1039.0932764918703,0.22177940542869454,2.037437797042883,NA,50.39730794365925,1,50.39730794365925,-1.1685921933257315,1.5995469045621917,1.2956661792625723,0.5755402968330109
1999_2005,12CS021,13862,62569,3161,6497.529250326328,0.22154741165753009,2.0555296584392053,NA,51.33593666698719,1,51.33593666698719,-0.6966360504925517,1.638637925227985,1.3007610190962062,0.7475876312772133
1999_2005,12CS023,2114,11035,403,1267.457408106858,0.19157227004984143,3.1450556032428243,NA,51.84391659754567,1,51.84391659754567,-0.4412163699472686,3.9927727647140894,1.9590482856685916,1.836868226811804
1999_2005,12CS026,4749,21023,1307,2111.5038010882035,0.2258954478428388,1.6155346603582277,NA,51.77654791691421,1,51.77654791691421,-0.4750903201774023,0.687942295516524,1.2052733349062332,0.4727084367484516
1999_2005,12CS027,7384,37710,1615,4182.052767663437,0.19581012993900823,2.589506357686339,NA,50.57616216397215,1,50.57616216397215,-1.078661695941176,2.792399482873175,1.8659801948129073,1.1932393272483022
1999_2005,12CS029,5116,23368,1527,2342.2514966067843,0.218931872646354,1.5338909604497606,NA,51.92713979223581,1,51.92713979223581,-0.3993705399784672,0.5115350430818755,1.3582011489483004,0.49012188401723616
1999_2005,12CS030,5281,25387,1237,2683.6724398137985,0.20801985268050577,2.1695007597524643,NA,50.71811938255649,1,50.71811938255649,-1.0072835464500238,1.8848948790672106,1.5978411776799415,0.8251508367657094
1999_2005,12CS031,2449,11492,562,1326.7277236449322,0.21310476853463278,2.3607254869126906,NA,50.660959633436256,1,50.660959633436256,-1.0360242977712162,2.298073467907749,1.4861708008666004,0.9160733236677111
1999_2005,12CS032,29807,130118,7147,14252.427905946759,0.22907668424045866,1.994183280529839,NA,51.27861148707697,1,51.27861148707697,-0.7254599828155677,1.5060870243508604,1.1354098647042241,0.6386789687465056
1999_2005,12CS033,1229,5015,337,555.3074697697026,0.24506480558325025,1.647796646200898,NA,51.18495765736203,1,51.18495765736203,-0.7725504874371466,0.7576506537483483,0.7842930348282886,0.2564644003798301
1999_2005,12CS034,1185,4555,330,467.3219132446862,0.2601536772777168,1.4161270098323824,NA,49.59268417278451,1,49.59268417278451,-1.573168701476394,0.25708289322154265,0.45292472193050864,-0.2877203621081142
