cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1259,2006_2012,NA,NA,NA,-1.5270292285936524,0,1,0,missing_dq
C126,2006_2012,NA,NA,NA,-0.4216319206430868,0,1,0,missing_dq
C1260,2006_2012,NA,NA,NA,-0.28343222149875563,0,1,0,missing_dq
C1262,2006_2012,NA,NA,NA,-0.7018174010493866,0,1,0,missing_dq
C1264,2006_2012,NA,NA,NA,-1.1715263733451602,0,1,0,missing_dq
C1266,2006_2012,NA,NA,NA,0.009615343770078003,0,1,0,missing_dq
C1267,2006_2012,NA,NA,NA,0.978005440585429,0,1,0,missing_dq
C1269,2006_2012,NA,NA,NA,-1.0048002555701396,0,1,0,missing_dq
C127,2006_2012,NA,NA,NA,1.0754668152723574,0,1,0,missing_dq
C1270,2006_2012,NA,NA,NA,0.4891804833957784,0,1,0,missing_dq
C1272,2006_2012,NA,NA,NA,-1.1874346871787198,0,1,0,missing_dq
C1273,2006_2012,NA,NA,NA,-1.482964228014568,0,1,0,missing_dq
C1274,2006_2012,NA,NA,NA,0.0826820604753752,0,1,0,missing_dq
C1275,2006_2012,NA,NA,NA,-0.8171598768181503,0,1,0,missing_dq
C1276,2006_2012,NA,NA,NA,-0.5277384174238698,0,1,0,missing_dq
C1277,2006_2012,NA,NA,NA,-0.4189860468503494,0,1,0,missing_dq
C1278,2006_2012,NA,NA,NA,-0.4820883080498008,0,1,0,missing_dq
C1279,2006_2012,NA,NA,NA,0.5355775766724513,0,1,0,missing_dq
C128,2006_2012,NA,NA,NA,0.676135043723513,0,1,0,missing_dq
C1280,2006_2012,NA,NA,NA,-0.7869876854357476,0,1,0,missing_dq
C1281,2006_2012,NA,NA,NA,0.5312820952197577,0,1,0,missing_dq
C1282,2006_2012,NA,NA,NA,-1.0284948100006457,0,1,0,missing_dq
C1283,2006_2012,NA,NA,NA,-1.3703347074360295,0,1,0,missing_dq
C1284,2006_2012,NA,NA,NA,-0.9010945266086583,0,1,0,missing_dq
C1285,2006_2012,NA,NA,NA,-0.27486394772813133,0,1,0,missing_dq
C1286,2006_2012,NA,NA,NA,-0.6468598508118713,0,1,0,missing_dq
C1287,2006_2012,NA,NA,NA,1.3065709894622162,0,1,0,missing_dq
C1288,2006_2012,NA,NA,NA,-0.6538835335030794,0,1,0,missing_dq
C1289,2006_2012,NA,NA,NA,0.04627037653778672,0,1,0,missing_dq
C129,2006_2012,NA,NA,NA,0.5831056406479171,0,1,0,missing_dq
C1290,2006_2012,NA,NA,NA,-0.8177053287065157,0,1,0,missing_dq
C1291,2006_2012,NA,NA,NA,0.31359526136899735,0,1,0,missing_dq
C1292,2006_2012,NA,NA,NA,-0.6485150711375598,0,1,0,missing_dq
C1293,2006_2012,NA,NA,NA,-0.7998171006060975,0,1,0,missing_dq
C1294,2006_2012,NA,NA,NA,-0.37161650051854084,0,1,0,missing_dq
C1295,2006_2012,NA,NA,NA,-0.04642537067515711,0,1,0,missing_dq
C1296,2006_2012,NA,NA,NA,-1.3393947662505554,0,1,0,missing_dq
C1297,2006_2012,NA,NA,NA,-0.5526150959453402,0,1,0,missing_dq
C1298,2006_2012,NA,NA,NA,-1.8074384739710243,0,1,0,missing_dq
C1299,2006_2012,NA,NA,NA,-0.19896381349921236,0,1,0,missing_dq
C13,2006_2012,NA,NA,NA,0.8448651348111209,0,1,0,missing_dq
C130,2006_2012,NA,NA,NA,1.3128619130431158,0,1,0,missing_dq
C1300,2006_2012,NA,NA,NA,0.4351668501743334,0,1,0,missing_dq
C1302,2006_2012,NA,NA,NA,0.11165051647106901,0,1,0,missing_dq
C1303,2006_2012,NA,NA,NA,0.10984577278239731,0,1,0,missing_dq
C1304,2006_2012,NA,NA,NA,-0.5223975241860568,0,1,0,missing_dq
C1306,2006_2012,NA,NA,NA,-0.8445250461879019,0,1,0,missing_dq
C1307,2006_2012,NA,NA,NA,-0.1834711698631993,0,1,0,missing_dq
C1308,2006_2012,NA,NA,NA,0.48027510261111883,0,1,0,missing_dq
C1309,2006_2012,NA,NA,NA,0.5574848317879861,0,1,0,missing_dq
C131,2006_2012,NA,NA,NA,0.5560182088454713,0,1,0,missing_dq
C1310,2006_2012,NA,NA,NA,-0.9776960983242681,0,1,0,missing_dq
C1311,2006_2012,NA,NA,NA,0.10004978402558685,0,1,0,missing_dq
C1312,2006_2012,NA,NA,NA,-1.4173322808421043,0,1,0,missing_dq
C1313,2006_2012,NA,NA,NA,-1.042609215167529,0,1,0,missing_dq
C1314,2006_2012,NA,NA,NA,-0.557726724974321,0,1,0,missing_dq
