period,cluster,issue,z_sum
1999_2005,C178,geom_without_data,NA
1999_2005,C1785,geom_without_data,NA
1999_2005,C1786,geom_without_data,NA
1999_2005,C179,geom_without_data,NA
1999_2005,C1795,geom_without_data,NA
1999_2005,C18,geom_without_data,NA
1999_2005,C180,geom_without_data,NA
1999_2005,C1801,geom_without_data,NA
1999_2005,C1805,geom_without_data,NA
1999_2005,C181,geom_without_data,NA
1999_2005,C1817,geom_without_data,NA
1999_2005,C182,geom_without_data,NA
1999_2005,C183,geom_without_data,NA
1999_2005,C184,geom_without_data,NA
1999_2005,C185,geom_without_data,NA
1999_2005,C186,geom_without_data,NA
1999_2005,C187,geom_without_data,NA
1999_2005,C188,geom_without_data,NA
1999_2005,C189,geom_without_data,NA
1999_2005,C19,geom_without_data,NA
1999_2005,C190,geom_without_data,NA
1999_2005,C191,geom_without_data,NA
1999_2005,C192,geom_without_data,NA
1999_2005,C193,geom_without_data,NA
1999_2005,C194,geom_without_data,NA
1999_2005,C195,geom_without_data,NA
1999_2005,C196,geom_without_data,NA
1999_2005,C197,geom_without_data,NA
1999_2005,C198,geom_without_data,NA
1999_2005,C199,geom_without_data,NA
1999_2005,C2,geom_without_data,NA
1999_2005,C20,geom_without_data,NA
1999_2005,C200,geom_without_data,NA
1999_2005,C201,geom_without_data,NA
1999_2005,C202,geom_without_data,NA
1999_2005,C203,geom_without_data,NA
1999_2005,C204,geom_without_data,NA
1999_2005,C205,geom_without_data,NA
1999_2005,C206,geom_without_data,NA
1999_2005,C207,geom_without_data,NA
1999_2005,C208,geom_without_data,NA
1999_2005,C209,geom_without_data,NA
1999_2005,C21,geom_without_data,NA
1999_2005,C210,geom_without_data,NA
1999_2005,C211,geom_without_data,NA
1999_2005,C212,geom_without_data,NA
