period,cluster
1999_2005,C890
1999_2005,C1205
1999_2005,C1078
1999_2005,C1397
1999_2005,C1135
1999_2005,C1239
1999_2005,C1709
1999_2005,C1610
1999_2005,C197
1999_2005,C57
1999_2005,C1537
1999_2005,C1521
1999_2005,C1404
1999_2005,C1208
1999_2005,C148
1999_2005,C1550
1999_2005,C613
1999_2005,C1449
1999_2005,C957
1999_2005,C2
1999_2005,C235
1999_2005,C766
1999_2005,C1071
1999_2005,C9
1999_2005,C1123
1999_2005,C597
1999_2005,C135
1999_2005,C144
1999_2005,C91
1999_2005,C438
1999_2005,C888
1999_2005,C1018
1999_2005,C523
1999_2005,C1047
1999_2005,C220
1999_2005,C1369
1999_2005,C495
1999_2005,C243
1999_2005,C735
1999_2005,C634
1999_2005,C796
1999_2005,C266
1999_2005,C1250
1999_2005,C1434
1999_2005,C928
1999_2005,C512
1999_2005,C1394
1999_2005,C395
1999_2005,C876
1999_2005,C1261
1999_2005,C955
1999_2005,C1303
1999_2005,C756
1999_2005,C199
1999_2005,C690
1999_2005,C852
1999_2005,C659
1999_2005,C374
1999_2005,C1063
1999_2005,C209
1999_2005,C448
1999_2005,C296
1999_2005,C1231
1999_2005,C320
1999_2005,C34
1999_2005,C427
1999_2005,C1040
1999_2005,C1101
1999_2005,C1173
1999_2005,C1616
1999_2005,C545
1999_2005,C508
1999_2005,C611
1999_2005,C686
1999_2005,C1378
1999_2005,C30
1999_2005,C572
1999_2005,C733
1999_2005,C1093
1999_2005,C565
1999_2005,C515
1999_2005,C1507
1999_2005,C912
1999_2005,C1200
1999_2005,C1260
1999_2005,C1133
1999_2005,C1747
1999_2005,C1142
1999_2005,C651
1999_2005,C879
1999_2005,C703
1999_2005,C1406
1999_2005,C1243
1999_2005,C299
1999_2005,C947
1999_2005,C88
1999_2005,C816
1999_2005,C655
1999_2005,C1209
1999_2005,C1023
1999_2005,C1695
1999_2005,C771
1999_2005,C1037
1999_2005,C336
1999_2005,C335
1999_2005,C184
1999_2005,C503
1999_2005,C1025
1999_2005,C1310
1999_2005,C687
1999_2005,C158
1999_2005,C550
1999_2005,C461
1999_2005,C29
1999_2005,C781
1999_2005,C564
1999_2005,C1069
1999_2005,C183
1999_2005,C715
1999_2005,C98
1999_2005,C1143
1999_2005,C1427
1999_2005,C1348
1999_2005,C153
1999_2005,C145
1999_2005,C1149
1999_2005,C1304
1999_2005,C1524
1999_2005,C1004
1999_2005,C1064
1999_2005,C664
1999_2005,C225
1999_2005,C744
1999_2005,C1214
1999_2005,C996
1999_2005,C1020
1999_2005,C287
1999_2005,C580
1999_2005,C1277
1999_2005,C1084
1999_2005,C453
1999_2005,C667
1999_2005,C1247
1999_2005,C644
1999_2005,C1198
1999_2005,C762
1999_2005,C1245
1999_2005,C977
1999_2005,C861
1999_2005,C500
1999_2005,C201
1999_2005,C568
1999_2005,C1166
1999_2005,C722
1999_2005,C1727
1999_2005,C1330
1999_2005,C731
1999_2005,C1120
1999_2005,C1068
1999_2005,C1532
1999_2005,C1575
1999_2005,C1060
1999_2005,C904
1999_2005,C356
1999_2005,C1203
1999_2005,C1354
1999_2005,C379
1999_2005,C517
1999_2005,C826
1999_2005,C1051
1999_2005,C1098
1999_2005,C1490
1999_2005,C493
1999_2005,C1219
1999_2005,C1024
1999_2005,C1345
1999_2005,C300
1999_2005,C90
1999_2005,C671
1999_2005,C844
1999_2005,C282
1999_2005,C49
1999_2005,C880
1999_2005,C790
1999_2005,C604
1999_2005,C97
1999_2005,C688
1999_2005,C1044
