period,cluster,fips,cluster_deaths
1999_2005,51CS015,54033,847
1999_2005,27CS017,55121,274
1999_2005,13CS025,13143,292
1999_2005,13CS044,13105,224
1999_2005,26CS028,26107,321
1999_2005,21CS021,51105,311
1999_2005,36CS028,36099,310
1999_2005,18CS046,21225,180
1999_2005,36CS028,42047,372
1999_2005,16CS001,30047,246
1999_2005,55CS024,55115,439
1999_2005,22CS012,22007,192
1999_2005,27CS017,55129,161
1999_2005,08CS001,30017,153
1999_2005,42CS047,54009,304
1999_2005,19CS017,46069,25
1999_2005,26CS028,26111,649
1999_2005,13CS034,13023,128
1999_2005,19CS030,29117,190
1999_2005,42CS024,39115,142
1999_2005,13CS044,13219,160
1999_2005,23CS003,23023,308
1999_2005,51CS015,51036,72
1999_2005,20CS022,20157,116
1999_2005,47CS038,47099,430
1999_2005,19CS017,31133,59
1999_2005,08CS001,30021,85
1999_2005,51CS015,51111,157
1999_2005,48CS011,48177,217
1999_2005,22CS012,28021,115
1999_2005,08CS001,38003,152
1999_2005,42CS024,54083,332
1999_2005,48CS053,48083,170
1999_2005,27CS010,38027,51
1999_2005,16CS001,30099,59
1999_2005,28CS003,01131,151
1999_2005,19CS017,19093,105
1999_2005,28CS003,01059,370
1999_2005,21CS021,21175,100
1999_2005,08CS001,08053,2
1999_2005,13CS034,13321,192
1999_2005,08CS001,31047,204
1999_2005,26CS028,26089,184
1999_2005,45CS002,13073,485
1999_2005,31CS016,31099,70
1999_2005,13CS034,13003,60
1999_2005,39CS041,18151,251
1999_2005,21CS022,21181,87
1999_2005,08CS001,08107,63
1999_2005,17CS044,19019,180
1999_2005,02CS001,02220,50
1999_2005,19CS017,46089,44
1999_2005,29CS038,17187,214
1999_2005,19CS017,46079,108
1999_2005,48CS011,48507,93
1999_2005,08CS001,08057,11
1999_2005,51CS015,51101,106
1999_2005,08CS001,20007,60
1999_2005,08CS001,16065,104
1999_2005,08CS001,48263,18
1999_2005,26CS028,26119,120
1999_2005,18CS046,17047,72
1999_2005,16CS001,56003,148
1999_2005,19CS030,29129,46
1999_2005,08CS001,48111,40
1999_2005,31CS016,31081,83
1999_2005,48CS011,48505,86
1999_2005,08CS001,31075,4
1999_2005,19CS017,27149,78
1999_2005,21CS021,21129,86
1999_2005,19CS017,46115,73
1999_2005,48CS011,48019,132
1999_2005,16CS001,30039,25
1999_2005,39CS028,21005,170
1999_2005,16CS001,30007,33
1999_2005,17CS044,19195,102
1999_2005,08CS001,38065,14
1999_2005,27CS010,38083,11
1999_2005,20CS018,20153,32
1999_2005,12CS032,12086,17957
1999_2005,25CS012,25011,638
1999_2005,42CS009,42017,5028
1999_2005,06CS032,06077,4360
1999_2005,26CS051,26163,19377
1999_2005,16CS001,30029,650
1999_2005,12CS009,12021,2313
1999_2005,47CS040,47101,135
1999_2005,12CS013,12031,6780
1999_2005,06CS043,06107,2625
1999_2005,53CS013,53057,957
1999_2005,24CS004,24510,7941
1999_2005,29CS038,29083,304
1999_2005,18CS039,18097,7389
1999_2005,37CS043,37023,832
1999_2005,39CS028,21211,273
1999_2005,39CS041,39095,4233
1999_2005,42CS028,42069,2773
1999_2005,47CS040,47113,874
1999_2005,36CS024,36059,10677
1999_2005,22CS012,22089,352
1999_2005,25CS006,25013,4455
1999_2005,55CS026,55079,8783
1999_2005,08CS001,08077,1115
1999_2005,06CS011,06029,4948
1999_2005,37CS043,37109,565
1999_2005,13CS038,13115,973
1999_2005,32CS001,41019,1155
1999_2005,25CS001,25001,2712
1999_2005,37CS005,37147,1020
1999_2005,18CS035,18181,269
1999_2005,39CS028,39037,555
1999_2005,39CS041,39069,262
1999_2005,36CS027,36065,2521
1999_2005,21CS029,18027,310
1999_2005,37CS043,45091,1337
1999_2005,48CS036,35013,1162
1999_2005,27CS017,27053,7606
1999_2005,12CS041,12105,5280
1999_2005,28CS003,28131,144
1999_2005,39CS041,39173,954
1999_2005,18CS002,18183,277
1999_2005,37CS043,45057,572
1999_2005,36CS028,36067,4075
1999_2005,02CS001,02188,39
1999_2005,12CS013,12019,1149
1999_2005,37CS008,37111,358
1999_2005,39CS028,18013,135
1999_2005,51CS012,54047,375
1999_2005,45CS019,45045,3212
1999_2005,45CS008,45067,346
1999_2005,26CS028,26133,219
1999_2005,51CS015,51139,238
1999_2005,29CS038,29131,273
1999_2005,51CS015,51177,735
1999_2005,08CS001,38047,35
1999_2005,29CS038,17117,583
1999_2005,39CS040,39077,567
1999_2005,39CS040,39093,2469
1999_2005,21CS029,18083,449
1999_2005,29CS038,29099,1527
1999_2005,28CS003,28075,979
1999_2005,13CS044,13195,235
1999_2005,37CS019,37163,687
1999_2005,08CS001,20015,498
1999_2005,20CS014,20103,524
1999_2005,51CS015,51073,266
1999_2005,55CS012,55127,853
1999_2005,08CS001,08043,488
1999_2005,39CS016,39103,1103
1999_2005,45CS008,13031,371
1999_2005,27CS017,27115,253
1999_2005,19CS017,31021,117
1999_2005,19CS017,19145,207
