stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
20069,0.25965709894974304,0.32146444381784384,0.33333333333333337,0.797236117344813,11.291666666666666,0.5885031487627105,1.3535918479992894,2,1270,684,FALSE
20071,0.2710818382346106,0.2705987286222943,0,0.8218106481995371,7,0.60834064986082,1.3663981641675778,2,484,646,FALSE
20073,0.22231046662919007,0.2951475496803954,0.1,0.7914131954067292,37.666666666666664,0.5828761640030672,1.1728593792234074,2,2982,1741,FALSE
20075,0.2392816232396309,0.3198933473544447,0,0.7940808658614344,17.916666666666668,0.5837444152566484,1.1318150997395522,2,2419,2186,FALSE
20077,0.19881257275558142,0.30906785017537786,0.16666666666666666,0.7881555408679055,30.375,0.5830339317548621,1.1612686177841862,2,2874,1877,FALSE
20079,0.2325923174786713,0.3103969591496577,0.11458333333333334,0.793817198555391,69.70833333333334,0.582403116851201,1.0434783209466398,2,3525,3353,FALSE
20081,0.18286515378953372,0.2816904239453211,0,0.8036449054407748,19.291666666666668,0.6017906480499409,1.9808602528860417,2,615,84,TRUE
20083,0.3699005956502806,0.29692533208619354,0,0.8034876058685583,11.125,0.6215711887636483,1.2917956694389114,3,330,897,FALSE
20085,0.21008724457875327,0.30346685977317905,0.42857142857142855,0.7951287208087979,29.958333333333336,0.5954723036363722,1.2984406787870635,2,810,867,FALSE
20087,0.2405088491093571,0.3000626238316484,0.0909090909090909,0.7950164823019626,33.833333333333336,0.582403116851201,1.1698107987183093,2,3526,1786,FALSE
20089,0.2659036016572811,0.32776535889432523,0.34444444444444444,0.8006847401166344,87.125,0.5932203974773317,1.5156014115979568,2,915,335,FALSE
20091,0.21817209562793893,0.30754315353938827,0.12208956726765867,0.7927604348869527,648.75,0.5820879653874056,1.0038839210297177,2,4193,3910,FALSE
20093,0.24820229676413583,0.30898818223020547,0,0.8044776982276982,16.125,0.5877868733397389,1.3024788725108312,2,1366,853,FALSE
20095,0.23723565127831484,0.3260131448948529,0.11111111111111109,0.7961034830641511,47.208333333333336,0.5829550425417899,1.2929052422368823,2,2924,891,FALSE
20097,0.2749225236625059,0.31336581195541224,0.07638888888888888,0.796730582024918,130.875,0.5856432735609325,1.1294965393918484,2,1747,2213,FALSE
20099,0.2240866761795007,0.3111757049221614,0.25490196078431376,0.7934885424131998,89.375,0.5823243129924944,1.0412384649392457,2,3664,3390,FALSE
20101,0.2468534929487523,0.2894080442100378,0.2,0.8115250391918281,12.458333333333334,0.5889014566431195,1.7770594295140554,2,1226,146,TRUE
20103,0.22994317906466558,0.30556076631159734,0.15526315789473685,0.7911948108387372,115.83333333333334,0.5827972961372495,1.0563754899903333,2,3057,3169,FALSE
20105,0.1894492904695612,0.29062694433182057,0,0.8022353073528131,21.958333333333332,0.5935415762127378,1.6672780022824893,2,896,204,TRUE
20107,0.20099099456010766,0.29565857457138206,0.125,0.7888678357451531,33.5,0.5831128316437283,1.275106526935034,2,2813,976,FALSE
20109,0.28313386189927203,0.3159552729778138,0,0.7931529587621162,17.208333333333332,0.5875483086486949,1.0912971540704695,2,1403,2703,FALSE
20111,0.2144259593403624,0.31110936870030964,0.11666666666666665,0.790807258216355,98.625,0.582403116851201,0.9950092952659049,2,3527,4030,FALSE
20113,0.23348055493187903,0.3172298414486413,0.10648148148148147,0.7930591401036975,98.5,0.5821667372620394,1.0776662711823677,2,4020,2872,FALSE
