cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C518,C18,60,0.021337126600284494,0.08209046992976789,0.021041859673347773,3.9012934790049023,7,NA,2007_2014,ucod_root3
C518,C50,60,0.021337126600284494,0.08209046992976789,0.021041859673347773,3.9012934790049023,8,NA,2007_2014,ucod_root3
C518,C25,56,0.01991465149359886,0.07799174092565532,0.019991251964348134,3.9012934790049023,9,NA,2007_2014,ucod_root3
C518,I11,51,0.01813655761024182,0.07272443336789391,0.018641108073326397,3.9012934790049023,10,NA,2007_2014,ucod_root3
C519,I25,437,0.14610498161150118,0.2810226848426996,0.07075381922342584,3.9718376750135342,1,NA,2007_2014,ucod_root3
C519,C34,262,0.08759612169842862,0.21329818167022369,0.05370264324044836,3.9718376750135342,2,NA,2007_2014,ucod_root3
C519,J44,210,0.07021063189568706,0.186497379091147,0.04695493480621952,3.9718376750135342,3,NA,2007_2014,ucod_root3
C519,I21,206,0.0688732865262454,0.18426957516118875,0.04639403476139312,3.9718376750135342,4,NA,2007_2014,ucod_root3
C519,F03,174,0.058174523570712136,0.16546624879247174,0.04165987191103118,3.9718376750135342,5,NA,2007_2014,ucod_root3
C519,G30,141,0.04714142427281846,0.1439983439396526,0.03625484113953925,3.9718376750135342,6,NA,2007_2014,ucod_root3
C519,C50,74,0.02474088933467068,0.09152392157857159,0.023043218043461385,3.9718376750135342,7,NA,2007_2014,ucod_root3
C519,C25,66,0.022066198595787363,0.08415404510057924,0.02118768489205503,3.9718376750135342,8,NA,2007_2014,ucod_root3
C519,C18,64,0.021397525911066532,0.08226235988542216,0.0207114103385763,3.9718376750135342,9,NA,2007_2014,ucod_root3
C519,I11,54,0.01805416248746239,0.07247625097009242,0.01824753600229784,3.9718376750135342,10,NA,2007_2014,ucod_root3
C52,I25,1161,0.1451975987993997,0.2801819569614689,0.07034336672156434,3.9830615169514885,1,NA,2007_2014,ucod_root3
C52,C34,677,0.08466733366683342,0.20904579929631398,0.052483698382924084,3.9830615169514885,2,NA,2007_2014,ucod_root3
C52,J44,589,0.07366183091545773,0.19212998143441304,0.04823675974290836,3.9830615169514885,3,NA,2007_2014,ucod_root3
C52,I21,529,0.06615807903951976,0.17966604196224278,0.04510752374714855,3.9830615169514885,4,NA,2007_2014,ucod_root3
C52,F03,467,0.058404202101050524,0.16588939388735627,0.04164871498503062,3.9830615169514885,5,NA,2007_2014,ucod_root3
C52,G30,340,0.04252126063031516,0.13427155659372542,0.033710640928411445,3.9830615169514885,6,NA,2007_2014,ucod_root3
C52,C50,192,0.0240120060030015,0.08954560456850447,0.022481602201574805,3.9830615169514885,7,NA,2007_2014,ucod_root3
C52,C18,189,0.0236368184092046,0.08851869555102082,0.02222378318142831,3.9830615169514885,8,NA,2007_2014,ucod_root3
C52,C25,176,0.022011005502751375,0.08399867875218316,0.02108897349305143,3.9830615169514885,9,NA,2007_2014,ucod_root3
C52,I11,162,0.020260130065032515,0.07899628043807415,0.019833055578447466,3.9830615169514885,10,NA,2007_2014,ucod_root3
C520,I25,429,0.14666666666666667,0.28154028330823117,0.07174522494963369,3.9241675457269385,1,NA,2007_2014,ucod_root3
C520,C34,264,0.09025641025641026,0.21707575156279835,0.055317656301187776,3.9241675457269385,2,NA,2007_2014,ucod_root3
C520,I21,203,0.06940170940170941,0.18515291879203638,0.047182725160053646,3.9241675457269385,3,NA,2007_2014,ucod_root3
C520,F03,191,0.0652991452991453,0.1781867621672791,0.04540753168434622,3.9241675457269385,4,NA,2007_2014,ucod_root3
C520,J44,184,0.06290598290598291,0.1740051201293958,0.04434191917184361,3.9241675457269385,5,NA,2007_2014,ucod_root3
C520,G30,126,0.043076923076923075,0.13546692288616216,0.03452118731109565,3.9241675457269385,6,NA,2007_2014,ucod_root3
C520,C50,78,0.02666666666666667,0.09664909154603642,0.024629195981012198,3.9241675457269385,7,NA,2007_2014,ucod_root3
C520,C25,76,0.025982905982905983,0.09484582833259883,0.024169668401614837,3.9241675457269385,8,NA,2007_2014,ucod_root3
C520,C18,71,0.024273504273504273,0.09025786723635881,0.02300051314950643,3.9241675457269385,9,NA,2007_2014,ucod_root3
C520,I11,57,0.019487179487179488,0.07674048343056075,0.01955586313181866,3.9241675457269385,10,NA,2007_2014,ucod_root3
C521,I25,558,0.1458061144499608,0.28074639609583757,0.07122211317378088,3.9418431100298945,1,NA,2007_2014,ucod_root3
C521,C34,338,0.08831983276718056,0.21433373906470526,0.0543739903090866,3.9418431100298945,2,NA,2007_2014,ucod_root3
C521,I21,275,0.07185785210347531,0.1892064232123755,0.04799948093594739,3.9418431100298945,3,NA,2007_2014,ucod_root3
